,Unnamed: 0,Date,Q1,Q2,Q3,Q4,AveragePrice,Total Volume,Medium,Large,Extra Large,Other,type,year,conventional,organic
7301,32,2017-05-21,False,True,False,False,1.78,183083.69,28908.03,67866.42,7.8,86301.44,organic,2017,False,True
7308,29,2016-06-05,False,True,False,False,1.55,182778.37,26377.62,88667.93,7.66,67725.16,organic,2016,False,True
7327,9,2018-01-21,True,False,False,False,1.69,181974.98,34411.37,64513.67,0.0,83049.94000000002,organic,2018,False,True
7330,28,2017-06-18,False,True,False,False,1.78,181725.85,32417.62,60616.15,0.0,88692.08000000002,organic,2017,False,True
7373,29,2017-06-11,False,True,False,False,1.79,179141.21,32283.4,64309.03,6.18,82542.6,organic,2017,False,True
7377,4,2018-02-25,True,False,False,False,1.82,179041.72,28991.22,83730.03,0.0,66320.47,organic,2018,False,True
7396,16,2016-09-04,False,False,True,False,1.65,178322.37,19885.38,82532.01,0.0,75904.98,organic,2016,False,True
7403,51,2017-01-08,True,False,False,False,1.5,177777.4,33563.39,69671.75,4.62,74537.64000000001,organic,2017,False,True
7420,18,2016-08-21,False,False,True,False,1.53,176650.09,28268.87,67090.59,3.11,81287.52,organic,2016,False,True
7446,17,2016-08-28,False,False,True,False,1.63,175422.72,20282.39,79271.95,9.33,75859.05000000002,organic,2016,False,True
7499,40,2016-03-20,True,False,False,False,1.46,172196.69,15752.0,89041.95,7.6,67395.14,organic,2016,False,True
7524,8,2018-01-28,True,False,False,False,1.87,170998.81,30070.62,58357.89,0.0,82570.3,organic,2018,False,True
7545,47,2017-02-05,True,False,False,False,1.36,169739.8,37220.31,82017.4,9.46,50492.63,organic,2017,False,True
7562,25,2017-07-09,False,False,True,False,1.62,169101.22,18593.36,54586.32,4.68,95916.85999999999,organic,2017,False,True
7575,6,2018-02-11,True,False,False,False,1.85,168311.26,30354.0,56580.92,0.0,81376.34000000001,organic,2018,False,True
7588,27,2017-06-25,False,True,False,False,1.66,167931.62,23367.89,53252.13,0.0,91311.59999999998,organic,2017,False,True
7600,33,2017-05-14,False,True,False,False,1.76,167406.47,29347.26,61178.45,7.82,76872.93999999999,organic,2017,False,True
7610,5,2018-02-18,True,False,False,False,1.97,167193.75,27895.41,73827.57,0.0,65470.76999999999,organic,2018,False,True
7644,48,2017-01-29,True,False,False,False,1.44,165225.54,30958.58,65973.06,23.2,68270.70000000003,organic,2017,False,True
7663,52,2017-01-01,True,False,False,False,1.46,164137.04,31267.65,65430.27,6.16,67432.96000000002,organic,2017,False,True
7666,26,2017-07-02,False,False,True,False,1.73,163970.9,20969.94,58901.69,9.35,84089.91999999998,organic,2017,False,True
7711,44,2016-02-21,True,False,False,False,1.43,161206.07,14702.41,81578.02,12.13,64913.51,organic,2016,False,True
7725,33,2015-05-10,False,True,False,False,1.4,160570.28,77103.7,70434.57,0.0,13032.009999999995,organic,2015,False,True
7740,0,2017-12-31,False,False,False,True,1.71,160039.02,46373.36,55040.01,0.0,58625.64999999999,organic,2017,False,True
7783,45,2016-02-14,True,False,False,False,1.47,158522.76,11345.11,87139.61,97.12,59940.92000000002,organic,2016,False,True
7790,50,2015-01-11,True,False,False,False,1.1,158110.68,123712.51,25975.27,1.47,8421.429999999998,organic,2015,False,True
7818,46,2016-02-07,True,False,False,False,1.38,156586.25,13085.23,84118.36,78.91,59303.749999999985,organic,2016,False,True
7826,11,2018-01-07,True,False,False,False,1.95,156341.57,42992.91,56007.79,0.0,57340.87,organic,2018,False,True
7846,47,2016-01-31,True,False,False,False,1.43,155319.35,17862.54,79184.75,124.41,58147.649999999994,organic,2016,False,True
7864,48,2016-01-24,True,False,False,False,1.36,154438.32,13658.82,86743.65,0.0,54035.850000000006,organic,2016,False,True
7914,15,2017-09-17,False,False,True,False,2.18,152064.59,48806.34,66114.77,0.0,37143.479999999996,organic,2017,False,True
7923,46,2017-02-12,True,False,False,False,1.54,151754.58,27367.52,55812.63,20.18,68554.25,organic,2017,False,True
8061,8,2017-11-05,False,False,False,True,1.76,145735.09,27876.4,67331.86,0.0,50526.83,organic,2017,False,True
8133,50,2017-01-15,True,False,False,False,1.66,142739.21,27811.48,58090.25,3.08,56834.399999999994,organic,2017,False,True
8137,17,2017-09-03,False,False,True,False,2.09,142391.81,33578.96,64298.99,0.0,44513.86000000001,organic,2017,False,True
8138,51,2015-01-04,True,False,False,False,1.24,142349.77,107490.73,25711.96,2.93,9144.149999999994,organic,2015,False,True
8193,19,2017-08-20,False,False,True,False,2.37,140365.99,28993.37,44771.32,1.57,66599.72999999998,organic,2017,False,True
8195,16,2017-09-10,False,False,True,False,2.2,140337.35,40795.15,62854.16,0.0,36688.04000000001,organic,2017,False,True
8228,14,2016-09-18,False,False,True,False,1.84,139322.81,19979.78,76879.66,3.11,42460.259999999995,organic,2016,False,True
8236,20,2017-08-13,False,False,True,False,2.21,139016.53,27834.92,44902.56,0.0,66279.05,organic,2017,False,True
8237,12,2016-10-02,False,False,False,True,1.91,138994.56,15505.79,70707.24,21.66,52759.86999999998,organic,2016,False,True
8243,50,2016-01-10,True,False,False,False,1.33,138580.98,17520.67,60382.97,0.0,60677.34000000001,organic,2016,False,True
8245,1,2017-12-24,False,False,False,True,1.82,138506.44,25276.34,58176.83,0.0,55053.270000000004,organic,2017,False,True
8246,14,2017-09-24,False,False,True,False,2.05,138458.82,34599.22,63107.77,1.57,40750.26000000001,organic,2017,False,True
8282,49,2017-01-22,True,False,False,False,1.53,136422.97,28034.89,54342.56,6.18,54039.340000000004,organic,2017,False,True
8283,44,2015-02-22,True,False,False,False,1.41,136421.88,102232.31,25715.73,0.0,8473.840000000007,organic,2015,False,True
8301,31,2015-05-24,False,True,False,False,1.5,135543.89,60597.97,63560.02,0.0,11385.900000000016,organic,2015,False,True
8303,25,2015-07-05,False,False,True,False,1.67,135522.65,50367.92,74571.56,18.66,10564.509999999998,organic,2015,False,True
8334,32,2015-05-17,False,True,False,False,1.49,133759.31,65830.84,56261.16,0.0,11667.309999999998,organic,2015,False,True
8349,0,2016-12-25,False,False,False,True,1.53,132890.31,22779.87,56237.83,10.76,53861.85,organic,2016,False,True
8352,46,2015-02-08,True,False,False,False,1.35,132790.41,94440.9,24587.9,0.0,13761.610000000008,organic,2015,False,True
8353,13,2017-10-01,False,False,False,True,2.08,132771.77,31036.76,59948.6,0.0,41786.409999999996,organic,2017,False,True
8360,10,2017-10-22,False,False,False,True,2.0,132184.44,27492.71,48684.87,0.0,56006.86000000001,organic,2017,False,True
8414,9,2017-10-29,False,False,False,True,2.01,129602.47,29243.35,48086.52,0.0,52272.6,organic,2017,False,True
8427,11,2016-10-09,False,False,False,True,1.98,128966.95,15488.42,67537.91,12.36,45928.259999999995,organic,2016,False,True
8439,23,2017-07-23,False,False,True,False,2.17,128480.81,20884.31,52053.33,4.67,55538.5,organic,2017,False,True
8442,2,2016-12-11,False,False,False,True,1.64,128204.63,20010.88,59840.22,49.16,48304.369999999995,organic,2016,False,True
8444,35,2015-04-26,False,True,False,False,1.5,128166.45,63539.73,51223.93,0.0,13402.789999999994,organic,2015,False,True
8472,24,2017-07-16,False,False,True,False,2.14,127255.55,18861.09,52718.44,9.36,55666.66,organic,2017,False,True
8502,2,2017-12-17,False,False,False,True,1.75,126089.01,24044.07,55284.97,0.0,46759.97,organic,2017,False,True
8504,4,2017-12-03,False,False,False,True,1.81,125973.2,23983.71,47847.46,0.0,54142.02999999999,organic,2017,False,True
8507,3,2017-12-10,False,False,False,True,1.89,125853.18,31270.64,46280.63,0.0,48301.909999999996,organic,2017,False,True
8519,49,2016-01-17,True,False,False,False,1.45,125541.88,16081.34,66398.85,0.0,43061.69,organic,2016,False,True
8541,12,2017-10-08,False,False,False,True,2.17,124505.87,26222.41,53539.49,0.0,44743.969999999994,organic,2017,False,True
8554,36,2015-04-19,False,True,False,False,1.52,123851.34,55948.06,57078.01,1.49,10823.779999999997,organic,2015,False,True
8557,13,2016-09-25,False,False,True,False,1.95,123708.0,12970.52,73572.34,10.84,37154.3,organic,2016,False,True
8580,1,2016-12-18,False,False,False,True,1.61,122728.42,18006.04,60993.65,176.75,43551.98,organic,2016,False,True
8588,6,2017-11-19,False,False,False,True,1.98,122170.14,25968.52,47146.26,0.0,49055.35999999999,organic,2017,False,True
8589,6,2016-11-13,False,False,False,True,2.13,122099.57,21825.77,51895.85,7.69,48370.26,organic,2016,False,True
8591,51,2016-01-03,True,False,False,False,1.43,122089.29,18211.06,66433.31,0.0,37444.92,organic,2016,False,True
8594,7,2017-11-12,False,False,False,True,1.99,122017.93,29124.07,43952.88,1.59,48939.38999999999,organic,2017,False,True
8606,48,2015-01-25,True,False,False,False,1.3,121698.02,80952.24,28216.13,0.0,12529.649999999998,organic,2015,False,True
8614,18,2017-08-27,False,False,True,False,2.54,121293.43,31149.69,48281.23,0.0,41862.50999999999,organic,2017,False,True
8624,38,2015-04-05,False,True,False,False,1.52,120814.24,57082.3,51295.72,0.0,12436.220000000001,organic,2015,False,True
8640,30,2015-05-31,False,True,False,False,1.5,119999.12,52846.87,53628.31,0.0,13523.940000000002,organic,2015,False,True
8651,37,2015-04-12,False,True,False,False,1.5,119549.28,59861.05,49554.48,0.0,10133.749999999993,organic,2015,False,True
8661,34,2015-05-03,False,True,False,False,1.48,119059.56,54176.97,51542.88,0.0,13339.71,organic,2015,False,True
8664,7,2016-11-06,False,False,False,True,2.37,119037.25,22140.03,56357.55,0.0,40539.67,organic,2016,False,True
8683,21,2017-08-06,False,False,True,False,2.18,118098.82,18668.32,42686.77,0.0,56743.73,organic,2017,False,True
8715,26,2015-06-28,False,True,False,False,1.67,116913.79,46841.35,61727.62,0.0,8344.82,organic,2015,False,True
8716,27,2015-06-21,False,True,False,False,1.69,116908.54,51294.9,55597.45,3.09,10013.099999999988,organic,2015,False,True
8717,3,2016-12-04,False,False,False,True,1.89,116895.28,24442.77,50935.56,10.75,41506.2,organic,2016,False,True
8727,45,2015-02-15,True,False,False,False,1.52,116499.36,85444.97,21689.75,0.0,9364.64,organic,2015,False,True
8733,28,2015-06-14,False,True,False,False,1.68,116322.44,51607.99,54937.64,43.18,9733.630000000005,organic,2015,False,True
8760,5,2017-11-26,False,False,False,True,2.0,115472.08,23310.44,47380.19,0.0,44781.45,organic,2017,False,True
8767,11,2017-10-15,False,False,False,True,2.1,115255.48,25513.54,44390.25,0.0,45351.69,organic,2017,False,True
8771,24,2015-07-12,False,False,True,False,1.8,115063.87,45482.88,60702.07,3.11,8875.80999999999,organic,2015,False,True
8779,29,2015-06-07,False,True,False,False,1.67,114406.15,49301.79,52704.34,6.16,12393.859999999997,organic,2015,False,True
8794,22,2017-07-30,False,False,True,False,2.14,113903.29,15243.52,40785.21,0.0,57874.55999999999,organic,2017,False,True
8838,40,2015-03-22,True,False,False,False,1.3,112284.57,64969.37,40012.49,0.0,7302.710000000006,organic,2015,False,True
8853,4,2016-11-27,False,False,False,True,2.04,111851.52,21468.08,49401.43,9.22,40972.79,organic,2016,False,True
8865,39,2015-03-29,True,False,False,False,1.53,111423.89,56829.47,44390.86,0.0,10203.559999999998,organic,2015,False,True
8940,42,2015-03-08,True,False,False,False,1.48,108346.9,75016.11,21619.82,0.0,11710.969999999994,organic,2015,False,True
8950,5,2016-11-20,False,False,False,True,2.1,107587.14,18289.69,44678.81,12.3,44606.34,organic,2016,False,True
8954,18,2015-08-23,False,False,True,False,1.85,107431.24,30454.79,63850.97,3.11,13122.37000000001,organic,2015,False,True
9032,8,2015-11-01,False,False,False,True,1.6,104331.19,20050.21,63408.14,0.0,20872.84000000001,organic,2015,False,True
9046,9,2015-10-25,False,False,False,True,1.64,103918.03,20902.94,66867.39,0.0,16147.699999999997,organic,2015,False,True
9066,23,2015-07-19,False,False,True,False,1.89,103081.23,33422.15,59794.77,0.0,9864.30999999999,organic,2015,False,True
9099,7,2015-11-08,False,False,False,True,1.66,101320.15,17074.6,62469.04,0.0,21776.509999999987,organic,2015,False,True
9140,1,2015-12-20,False,False,False,True,1.35,99793.55,12746.47,48195.95,1.52,38849.61000000001,organic,2015,False,True
9168,2,2015-12-13,False,False,False,True,1.39,98605.4,13609.24,46518.56,3.05,38474.54999999999,organic,2015,False,True
9170,0,2015-12-27,False,False,False,True,1.45,98576.63,14306.68,50893.97,0.0,33375.98000000001,organic,2015,False,True
9174,22,2015-07-26,False,False,True,False,1.93,98449.84,31604.24,57990.08,0.0,8855.51999999999,organic,2015,False,True
9199,6,2015-11-15,False,False,False,True,1.59,97265.23,16244.94,59089.47,0.0,21930.819999999992,organic,2015,False,True
9231,8,2016-10-30,False,False,False,True,2.49,96095.1,17620.85,52989.92,1.54,25482.79,organic,2016,False,True
9242,10,2016-10-16,False,False,False,True,2.02,95599.25,13352.47,54624.49,7.72,27614.57,organic,2016,False,True
9256,15,2015-09-13,False,False,True,False,1.97,95230.68,34760.74,54821.89,0.0,5648.049999999996,organic,2015,False,True
9281,41,2015-03-15,True,False,False,False,1.52,94419.17,65441.32,21855.14,0.0,7122.709999999999,organic,2015,False,True
9285,14,2015-09-20,False,False,True,False,1.92,94267.54,28489.91,60941.41,0.0,4836.219999999987,organic,2015,False,True
9356,3,2015-12-06,False,False,False,True,1.48,91211.53,17839.96,47527.65,1.53,25842.390000000007,organic,2015,False,True
9384,19,2015-08-16,False,False,True,False,1.96,90240.43,24630.76,52035.43,0.0,13574.239999999998,organic,2015,False,True
9386,17,2015-08-30,False,False,True,False,1.98,90125.42,23449.1,55879.18,0.0,10797.140000000007,organic,2015,False,True
9405,21,2015-08-02,False,False,True,False,1.99,89435.6,26067.67,54133.2,0.0,9234.73000000001,organic,2015,False,True
9421,5,2015-11-22,False,False,False,True,1.6,89062.36,14803.41,51282.8,0.0,22976.149999999994,organic,2015,False,True
9423,16,2015-09-06,False,False,True,False,1.99,88963.61,23875.92,56393.97,0.0,8693.720000000001,organic,2015,False,True
9502,20,2015-08-09,False,False,True,False,2.03,86211.24,23147.23,52640.84,0.0,10423.170000000013,organic,2015,False,True
9571,4,2015-11-29,False,False,False,True,1.75,83415.54,13195.19,48229.29,0.0,21991.05999999999,organic,2015,False,True
9609,12,2015-10-04,False,False,False,True,2.0,81751.48,18414.61,57015.39,0.0,6321.479999999996,organic,2015,False,True
9643,13,2015-09-27,False,False,True,False,1.85,80734.58,20639.23,50992.3,0.0,9103.050000000003,organic,2015,False,True
9762,9,2016-10-23,False,False,False,True,2.58,75897.66,9139.12,53304.49,6.17,13447.88000000001,organic,2016,False,True
9827,10,2015-10-18,False,False,False,True,2.01,73799.28,15960.2,48820.15,3.09,9015.84,organic,2015,False,True
9946,11,2015-10-11,False,False,False,True,2.07,70004.38,14400.49,48933.21,3.1,6667.580000000007,organic,2015,False,True
